date,fundlabel,nav
2005-08-17,COVERCALL,1074413.75
2005-08-18,COVERCALL,1074325.75
2005-08-19,COVERCALL,1077031.75
2005-08-22,COVERCALL,1077471.75
2005-08-23,COVERCALL,1075905.75
2005-08-24,COVERCALL,1067075.25
2005-08-25,COVERCALL,1070903.25
2005-08-26,COVERCALL,1064117.25
2005-08-29,COVERCALL,1071990.75
2005-08-30,COVERCALL,1066640.25
2005-08-31,COVERCALL,1079951.25
2005-09-01,COVERCALL,1078733.25
2005-09-02,COVERCALL,1077036.75
2005-09-06,COVERCALL,1089042.75
2005-09-07,COVERCALL,1091087.25
2005-09-08,COVERCALL,1087955.25
2005-09-09,COVERCALL,1096872.75
2005-09-12,COVERCALL,1095132.75
2005-09-13,COVERCALL,1089347.25
2005-09-14,COVERCALL,1085432.25
2005-09-15,COVERCALL,1084910.25
2005-09-16,COVERCALL,1092744.6
2005-09-19,COVERCALL,1090265.1
2005-09-20,COVERCALL,1081993.1
2005-09-21,COVERCALL,1072401.1
2005-09-22,COVERCALL,1076185.1
2005-09-23,COVERCALL,1077065.1
2005-09-26,COVERCALL,1078737.1
2005-09-27,COVERCALL,1078473.1
2005-09-28,COVERCALL,1079529.1
2005-09-29,COVERCALL,1087801.1
2005-09-30,COVERCALL,1091145.1
2005-10-03,COVERCALL,1087493.1
2005-10-04,COVERCALL,1075569.1
2005-10-05,COVERCALL,1061577.1
2005-10-06,COVERCALL,1057793.1
2005-10-07,COVERCALL,1061401.1
2005-10-10,COVERCALL,1052513.1
2005-10-11,COVERCALL,1051017.1
2005-10-12,COVERCALL,1042833.1
2005-10-13,COVERCALL,1042217.1000000001
2005-10-14,COVERCALL,1053129.1
2005-10-17,COVERCALL,1057001.1
2005-10-18,COVERCALL,1045649.0999999999
2005-10-19,COVERCALL,1062897.1
2005-10-20,COVERCALL,1044329.1
2005-10-21,COVERCALL,1048634.5
2005-10-24,COVERCALL,1061438.5
2005-10-25,COVERCALL,1060003
2005-10-26,COVERCALL,1058045.5
2005-10-27,COVERCALL,1048954
2005-10-28,COVERCALL,1060916.5
2005-10-31,COVERCALL,1062700
2005-11-01,COVERCALL,1066049.5
2005-11-02,COVERCALL,1073531.5
2005-11-03,COVERCALL,1076098
2005-11-04,COVERCALL,1075793.5
2005-11-07,COVERCALL,1076620
2005-11-08,COVERCALL,1078142.5
2005-11-09,COVERCALL,1079099.5
2005-11-10,COVERCALL,1082362
2005-11-11,COVERCALL,1083406
2005-11-14,COVERCALL,1083449.5
2005-11-15,COVERCALL,1084102
2005-11-16,COVERCALL,1084972
2005-11-17,COVERCALL,1086277
2005-11-18,COVERCALL,1085504.875
2005-11-21,COVERCALL,1085069.875
2005-11-22,COVERCALL,1089283.875
2005-11-23,COVERCALL,1094271.875
2005-11-25,COVERCALL,1094701.875
2005-11-28,COVERCALL,1089111.875
2005-11-29,COVERCALL,1088122.875
2005-11-30,COVERCALL,1083134.875
2005-12-01,COVERCALL,1093067.875
2005-12-02,COVERCALL,1094658.875
2005-12-05,COVERCALL,1092766.875
2005-12-06,COVERCALL,1095045.875
2005-12-07,COVERCALL,1089111.875
2005-12-08,COVERCALL,1088423.875
2005-12-09,COVERCALL,1091476.875
2005-12-12,COVERCALL,1092723.875
2005-12-13,COVERCALL,1099689.875
2005-12-14,COVERCALL,1103989.875
2005-12-15,COVERCALL,1101237.875
2005-12-16,COVERCALL,1097978.475
2005-12-19,COVERCALL,1093893.475
2005-12-20,COVERCALL,1095154.975
2005-12-21,COVERCALL,1096677.475
2005-12-22,COVERCALL,1101984.475
2005-12-23,COVERCALL,1102810.975
2005-12-27,COVERCALL,1093327.975
2005-12-28,COVERCALL,1095981.475
2005-12-29,COVERCALL,1091761.975
2005-12-30,COVERCALL,1086498.475
2006-01-03,COVERCALL,1103376.475
2006-01-04,COVERCALL,1107073.975
2006-01-05,COVERCALL,1108204.975
2006-01-06,COVERCALL,1114599.475
2006-01-09,COVERCALL,1116165.475
2006-01-10,COVERCALL,1117948.975
2006-01-11,COVERCALL,1119993.475
2006-01-12,COVERCALL,1119036.475
2006-01-13,COVERCALL,1118862.475
2006-01-17,COVERCALL,1117774.975
2006-01-18,COVERCALL,1115077.975
2006-01-19,COVERCALL,1119123.475
2006-01-20,COVERCALL,1099887.775
2006-01-23,COVERCALL,1104020.275
2006-01-24,COVERCALL,1105586.275
2006-01-25,COVERCALL,1106760.775
2006-01-26,COVERCALL,1112198.275
2006-01-27,COVERCALL,1119854.275
2006-01-30,COVERCALL,1118984.275
2006-01-31,COVERCALL,1112763.775
2006-02-01,COVERCALL,1119854.2749999997
2006-02-02,COVERCALL,1109066.275
2006-02-03,COVERCALL,1104890.275
2006-02-06,COVERCALL,1108196.275
2006-02-07,COVERCALL,1098887.275
2006-02-08,COVERCALL,1108370.275
2006-02-09,COVERCALL,1106978.275
2006-02-10,COVERCALL,1108979.275
2006-02-13,COVERCALL,1106978.275
2006-02-14,COVERCALL,1118636.275
2006-02-15,COVERCALL,1122551.275
2006-02-16,COVERCALL,1130685.775
2006-02-17,COVERCALL,1128088.825
2006-02-21,COVERCALL,1125522.325
2006-02-22,COVERCALL,1131655.825
2006-02-23,COVERCALL,1130655.325
2006-02-24,COVERCALL,1133308.825
2006-02-27,COVERCALL,1133526.325
2006-02-28,COVERCALL,1124130.325
2006-03-01,COVERCALL,1133395.825
2006-03-02,COVERCALL,1133526.3250000002
2006-03-03,COVERCALL,1128741.325
2006-03-06,COVERCALL,1124043.325
2006-03-07,COVERCALL,1122738.325
2006-03-08,COVERCALL,1125087.325
2006-03-09,COVERCALL,1117605.325
2006-03-10,COVERCALL,1128132.325
2006-03-13,COVERCALL,1130220.325
2006-03-14,COVERCALL,1141965.325
2006-03-15,COVERCALL,1146793.825
2006-03-16,COVERCALL,1149360.325
2006-03-17,COVERCALL,1150550.05
2006-03-20,COVERCALL,1148723.05
2006-03-21,COVERCALL,1143267.05
2006-03-22,COVERCALL,1149339.05
2006-03-23,COVERCALL,1147623.0500000003
2006-03-24,COVERCALL,1148503.05
2006-03-27,COVERCALL,1147271.05
2006-03-28,COVERCALL,1140891.05
2006-03-29,COVERCALL,1147799.05
2006-03-30,COVERCALL,1145775.05
2006-03-31,COVERCALL,1146259.05
2006-04-03,COVERCALL,1145599.05
2006-04-04,COVERCALL,1152463.05
2006-04-05,COVERCALL,1155983.05
2006-04-06,COVERCALL,1154971.05
2006-04-07,COVERCALL,1144147.05
2006-04-10,COVERCALL,1145907.05
2006-04-11,COVERCALL,1136667.0499999998
2006-04-12,COVERCALL,1138779.05
2006-04-13,COVERCALL,1137283.05
2006-04-17,COVERCALL,1136843.05
2006-04-18,COVERCALL,1154795.05
2006-04-19,COVERCALL,1156995.05
2006-04-20,COVERCALL,1158579.05
2006-04-21,COVERCALL,1158997.05
2006-04-24,COVERCALL,1157765.05
2006-04-25,COVERCALL,1153453.05
2006-04-26,COVERCALL,1153717.05
2006-04-27,COVERCALL,1158821.05
2006-04-28,COVERCALL,1162693.05
2006-05-01,COVERCALL,1153937.05
2006-05-02,COVERCALL,1162121.05
2006-05-03,COVERCALL,1158249.0499999998
2006-05-04,COVERCALL,1162165.0500000003
2006-05-05,COVERCALL,1171273.05
2006-05-08,COVERCALL,1170305.0500000003
2006-05-09,COVERCALL,1172373.05
2006-05-10,COVERCALL,1172417.05
2006-05-11,COVERCALL,1159217.05
2006-05-12,COVERCALL,1144169.05
2006-05-15,COVERCALL,1146457.05
2006-05-16,COVERCALL,1144785.05
2006-05-17,COVERCALL,1123137.05
2006-05-18,COVERCALL,1117505.05
2006-05-19,COVERCALL,1125596.65
2006-05-22,COVERCALL,1118380.65
2006-05-23,COVERCALL,1111616.65
2006-05-24,COVERCALL,1120071.65
2006-05-25,COVERCALL,1132398.15
2006-05-26,COVERCALL,1137070.65
2006-05-30,COVERCALL,1119448.65
2006-05-31,COVERCALL,1131775.15
2006-06-01,COVERCALL,1140185.65
2006-06-02,COVERCALL,1142143.65
2006-06-05,COVERCALL,1129639.15
2006-06-06,COVERCALL,1127547.65
2006-06-07,COVERCALL,1119982.65
2006-06-08,COVERCALL,1119003.65
2006-06-09,COVERCALL,1115888.65
2006-06-12,COVERCALL,1103784.65
2006-06-13,COVERCALL,1090968.65
2006-06-14,COVERCALL,1099423.65
2006-06-15,COVERCALL,1122741.65
2006-06-16,COVERCALL,1114902.975
2006-06-19,COVERCALL,1109518.475
2006-06-20,COVERCALL,1113748.475
2006-06-21,COVERCALL,1119103.475
2006-06-22,COVERCALL,1116403.475
2006-06-23,COVERCALL,1116673.475
2006-06-26,COVERCALL,1120948.475
2006-06-27,COVERCALL,1113928.475
2006-06-28,COVERCALL,1119463.475
2006-06-29,COVERCALL,1133368.475
2006-06-30,COVERCALL,1135033.475
2006-07-03,COVERCALL,1136113.475
2006-07-05,COVERCALL,1134493.475
2006-07-06,COVERCALL,1136473.475
2006-07-07,COVERCALL,1133728.475
2006-07-10,COVERCALL,1136113.475
2006-07-11,COVERCALL,1139803.475
2006-07-12,COVERCALL,1132063.475
2006-07-13,COVERCALL,1117438.475
2006-07-14,COVERCALL,1114918.475
2006-07-17,COVERCALL,1113748.475
2006-07-18,COVERCALL,1119418.475
2006-07-19,COVERCALL,1134223.475
2006-07-20,COVERCALL,1127608.475
2006-07-21,COVERCALL,1119962.975
2006-07-24,COVERCALL,1136477.975
2006-07-25,COVERCALL,1139557.975
2006-07-26,COVERCALL,1141273.975
2006-07-27,COVERCALL,1141097.975
2006-07-28,COVERCALL,1146993.975
2006-07-31,COVERCALL,1147609.975
2006-08-01,COVERCALL,1144925.975
2006-08-02,COVERCALL,1149633.975
2006-08-03,COVERCALL,1151085.975
2006-08-04,COVERCALL,1150689.975
2006-08-07,COVERCALL,1150029.975
2006-08-08,COVERCALL,1149017.975
2006-08-09,COVERCALL,1147873.975
2006-08-10,COVERCALL,1150645.975
2006-08-11,COVERCALL,1149677.975
2006-08-14,COVERCALL,1150777.975
2006-08-15,COVERCALL,1157773.975
2006-08-16,COVERCALL,1161029.975
2006-08-17,COVERCALL,1162173.975
2006-08-18,COVERCALL,1162140.975
2006-08-21,COVERCALL,1162360.975
2006-08-22,COVERCALL,1162494.475
2006-08-23,COVERCALL,1159735.475
2006-08-24,COVERCALL,1158756.475
2006-08-25,COVERCALL,1160180.475
2006-08-28,COVERCALL,1165920.975
2006-08-29,COVERCALL,1167255.975
2006-08-30,COVERCALL,1168190.475
2006-08-31,COVERCALL,1167789.9749999999
2006-09-01,COVERCALL,1174509.475
2006-09-05,COVERCALL,1176734.475
2006-09-06,COVERCALL,1167077.975
2006-09-07,COVERCALL,1161960.475
2006-09-08,COVERCALL,1165253.475
2006-09-11,COVERCALL,1166410.475
2006-09-12,COVERCALL,1177802.475
2006-09-13,COVERCALL,1182519.475
2006-09-14,COVERCALL,1180605.975
2006-09-15,COVERCALL,1185607.7750000001
2006-09-18,COVERCALL,1187432.275
2006-09-19,COVERCALL,1184940.2750000001
2006-09-20,COVERCALL,1190725.2750000001
2006-09-21,COVERCALL,1185251.7750000001
2006-09-22,COVERCALL,1182359.2750000001
2006-09-25,COVERCALL,1190680.7750000001
2006-09-26,COVERCALL,1198913.2750000001
2006-09-27,COVERCALL,1199892.2750000001
2006-09-28,COVERCALL,1199447.2750000001
2006-09-29,COVERCALL,1199135.7750000001
2006-10-02,COVERCALL,1196020.7750000001
2006-10-03,COVERCALL,1198290.2750000004
2006-10-04,COVERCALL,1208391.7750000001
2006-10-05,COVERCALL,1209370.7750000001
2006-10-06,COVERCALL,1209860.2750000001
2006-10-09,COVERCALL,1211239.7750000001
2006-10-10,COVERCALL,1212396.7750000001
2006-10-11,COVERCALL,1212307.7750000004
2006-10-12,COVERCALL,1217603.2750000001
2006-10-13,COVERCALL,1220050.7750000001
2006-10-16,COVERCALL,1220807.2750000001
2006-10-17,COVERCALL,1220095.2750000001
2006-10-18,COVERCALL,1222142.2750000001
2006-10-19,COVERCALL,1223877.7750000001
2006-10-20,COVERCALL,1224251.5750000002
2006-10-23,COVERCALL,1223361.5750000002
2006-10-24,COVERCALL,1227010.5750000002
2006-10-25,COVERCALL,1230526.0750000002
2006-10-26,COVERCALL,1233240.5750000002
2006-10-27,COVERCALL,1227722.5750000002
2006-10-30,COVERCALL,1227277.5750000002
2006-10-31,COVERCALL,1227544.5750000002
2006-11-01,COVERCALL,1219935.0750000004
2006-11-02,COVERCALL,1219668.0750000002
2006-11-03,COVERCALL,1217532.0750000002
2006-11-06,COVERCALL,1230793.0750000002
2006-11-07,COVERCALL,1235065.0750000004
2006-11-08,COVERCALL,1237735.0750000002
2006-11-09,COVERCALL,1232128.0750000002
2006-11-10,COVERCALL,1233107.0750000002
2006-11-13,COVERCALL,1236133.0750000002
2006-11-14,COVERCALL,1244499.0750000002
2006-11-15,COVERCALL,1248059.0750000002
2006-11-16,COVERCALL,1251708.0750000002
2006-11-17,COVERCALL,1252742.7000000002
2006-11-20,COVERCALL,1253677.2000000002
2006-11-21,COVERCALL,1254923.2
2006-11-22,COVERCALL,1257192.7000000002
2006-11-24,COVERCALL,1252564.7000000002
2006-11-27,COVERCALL,1235832.7000000002
2006-11-28,COVERCALL,1241172.7000000002
2006-11-29,COVERCALL,1254077.7000000002
2006-11-30,COVERCALL,1253944.2000000002
2006-12-01,COVERCALL,1251852.7000000002
2006-12-04,COVERCALL,1261375.7000000002
2006-12-05,COVERCALL,1266582.2000000002
2006-12-06,COVERCALL,1265736.7000000002
2006-12-07,COVERCALL,1260218.7000000002
2006-12-08,COVERCALL,1262532.7000000002
2006-12-11,COVERCALL,1266181.7000000002
2006-12-12,COVERCALL,1265202.7000000002
2006-12-13,COVERCALL,1266537.7000000002
2006-12-14,COVERCALL,1276105.2000000002
2006-12-15,COVERCALL,1278018.7000000002
2006-12-18,COVERCALL,1275215.2000000002
2006-12-19,COVERCALL,1277420.2000000002
2006-12-20,COVERCALL,1277375.2
2006-12-21,COVERCALL,1273145.2000000002
2006-12-22,COVERCALL,1265540.2000000002
2006-12-26,COVERCALL,1273235.2000000002
2006-12-27,COVERCALL,1280930.2000000002
2006-12-28,COVERCALL,1278680.2000000002
2006-12-29,COVERCALL,1273820.2000000002
2007-01-03,COVERCALL,1271795.2000000002
2007-01-04,COVERCALL,1274495.2000000002
2007-01-05,COVERCALL,1264550.2000000002
2007-01-08,COVERCALL,1270400.2000000002
2007-01-09,COVERCALL,1269320.2000000002
2007-01-10,COVERCALL,1273550.2000000002
2007-01-11,COVERCALL,1279130.2000000002
2007-01-12,COVERCALL,1288850.2000000002
2007-01-16,COVERCALL,1286330.2000000002
2007-01-17,COVERCALL,1286870.2000000002
2007-01-18,COVERCALL,1282550.2000000002
2007-01-19,COVERCALL,1285310.9500000002
2007-01-22,COVERCALL,1282250.9500000002
2007-01-23,COVERCALL,1286030.9500000002
2007-01-24,COVERCALL,1295480.9500000002
2007-01-25,COVERCALL,1281170.9500000002
2007-01-26,COVERCALL,1280000.9500000002
2007-01-29,COVERCALL,1279730.9500000002
2007-01-30,COVERCALL,1286165.9500000002
2007-01-31,COVERCALL,1294355.9500000002
2007-02-01,COVERCALL,1300970.9500000004
2007-02-02,COVERCALL,1302995.9500000002
2007-02-05,COVERCALL,1303580.9500000002
2007-02-06,COVERCALL,1304165.95
2007-02-07,COVERCALL,1307045.9500000002
2007-02-08,COVERCALL,1305560.9500000002
2007-02-09,COVERCALL,1296740.9500000002
2007-02-12,COVERCALL,1292330.9500000002
2007-02-13,COVERCALL,1303220.9500000002
2007-02-14,COVERCALL,1311770.9500000004
2007-02-15,COVERCALL,1313480.9500000002
2007-02-16,COVERCALL,1313087.2000000002
2007-02-20,COVERCALL,1315427.2000000002
2007-02-21,COVERCALL,1315338.2000000002
2007-02-22,COVERCALL,1314359.2000000002
2007-02-23,COVERCALL,1309731.2000000002
2007-02-26,COVERCALL,1308574.2000000002
2007-02-27,COVERCALL,1258556.2000000002
2007-02-28,COVERCALL,1271283.2000000002
2007-03-01,COVERCALL,1267545.2000000002
2007-03-02,COVERCALL,1251169.2000000002
2007-03-05,COVERCALL,1239421.2000000002
2007-03-06,COVERCALL,1260336.2000000002
2007-03-07,COVERCALL,1259090.2000000002
2007-03-08,COVERCALL,1269592.2000000002
2007-03-09,COVERCALL,1269948.2000000002
2007-03-12,COVERCALL,1271817.2000000002
2007-03-13,COVERCALL,1247431.2000000002
2007-03-14,COVERCALL,1256598.2000000002
2007-03-15,COVERCALL,1258289.2000000002
2007-03-16,COVERCALL,1255109.6750000003
2007-03-19,COVERCALL,1267302.6750000003
2007-03-20,COVERCALL,1273488.1750000003
2007-03-21,COVERCALL,1284346.1750000003
2007-03-22,COVERCALL,1282922.1750000003
2007-03-23,COVERCALL,1283678.675
2007-03-26,COVERCALL,1283545.1750000003
2007-03-27,COVERCALL,1283634.1750000005
2007-03-28,COVERCALL,1278605.6750000003
2007-03-29,COVERCALL,1278605.6750000003
2007-03-30,COVERCALL,1280207.6750000003
2007-04-02,COVERCALL,1282076.6750000003
2007-04-03,COVERCALL,1289686.1750000003
2007-04-04,COVERCALL,1291332.6750000003
2007-04-05,COVERCALL,1292578.6750000003
2007-04-09,COVERCALL,1294358.6750000003
2007-04-10,COVERCALL,1295426.6750000005
2007-04-11,COVERCALL,1295293.1750000003
2007-04-12,COVERCALL,1296761.6750000003
2007-04-13,COVERCALL,1299520.6750000003
2007-04-16,COVERCALL,1300232.6750000003
2007-04-17,COVERCALL,1300588.6750000003
2007-04-18,COVERCALL,1301300.6750000003
2007-04-19,COVERCALL,1300944.6750000003
2007-04-20,COVERCALL,1301589.9250000003
2007-04-23,COVERCALL,1301812.4250000003
2007-04-24,COVERCALL,1302551.9250000003
2007-04-25,COVERCALL,1312208.9250000003
2007-04-26,COVERCALL,1314340.4250000003
2007-04-27,COVERCALL,1313948.9250000003
2007-04-30,COVERCALL,1304248.4250000003
2007-05-01,COVERCALL,1307771.9250000003
2007-05-02,COVERCALL,1314470.9250000003
2007-05-03,COVERCALL,1320430.4250000003
2007-05-04,COVERCALL,1324954.4250000003
2007-05-07,COVERCALL,1325215.4250000003
2007-05-08,COVERCALL,1323910.4250000003
2007-05-09,COVERCALL,1327259.9250000003
2007-05-10,COVERCALL,1316341.4250000003
2007-05-11,COVERCALL,1326607.4250000005
2007-05-14,COVERCALL,1324388.9250000003
2007-05-15,COVERCALL,1325171.9250000003
2007-05-16,COVERCALL,1333915.4250000003
2007-05-17,COVERCALL,1331740.4250000003
2007-05-18,COVERCALL,1343465.8500000003
2007-05-21,COVERCALL,1342769.8500000003
2007-05-22,COVERCALL,1342153.8500000003
2007-05-23,COVERCALL,1342329.8500000003
2007-05-24,COVERCALL,1331065.8500000003
2007-05-25,COVERCALL,1336829.8500000003
2007-05-29,COVERCALL,1341449.8500000003
2007-05-30,COVERCALL,1351921.8500000003
2007-05-31,COVERCALL,1350513.8500000003
2007-06-01,COVERCALL,1353461.8500000003
2007-06-04,COVERCALL,1357157.8500000003
2007-06-05,COVERCALL,1352669.8500000003
2007-06-06,COVERCALL,1338809.8500000003
2007-06-07,COVERCALL,1314257.8500000003
2007-06-08,COVERCALL,1331769.8500000003
2007-06-11,COVERCALL,1334057.8500000003
2007-06-12,COVERCALL,1319317.8500000003
2007-06-13,COVERCALL,1338589.85
2007-06-14,COVERCALL,1347785.8500000006
2007-06-15,COVERCALL,1355675.0500000003
2007-06-18,COVERCALL,1355191.05
2007-06-19,COVERCALL,1358535.0500000003
2007-06-20,COVERCALL,1342431.05
2007-06-21,COVERCALL,1349163.0500000003
2007-06-22,COVERCALL,1338119.0500000003
2007-06-25,COVERCALL,1332443.0500000003
2007-06-26,COVERCALL,1319331.0500000003
2007-06-27,COVERCALL,1337899.0500000003
2007-06-28,COVERCALL,1337723.0500000003
2007-06-29,COVERCALL,1338603.0500000003
2007-07-02,COVERCALL,1350131.0500000003
2007-07-03,COVERCALL,1354971.0500000003
2007-07-05,COVERCALL,1353783.0500000003
2007-07-06,COVERCALL,1360603.0500000003
2007-07-09,COVERCALL,1361659.0500000003
2007-07-10,COVERCALL,1343355.0500000003
2007-07-11,COVERCALL,1352771.0500000003
2007-07-12,COVERCALL,1371911.05
2007-07-13,COVERCALL,1375299.0500000003
2007-07-16,COVERCALL,1376443.0500000003
2007-07-17,COVERCALL,1376619.0500000003
2007-07-18,COVERCALL,1374595.0500000003
2007-07-19,COVERCALL,1379875.0500000003
2007-07-20,COVERCALL,1366349.4500000002
2007-07-23,COVERCALL,1370045.4500000002
2007-07-24,COVERCALL,1349849.4500000002
2007-07-25,COVERCALL,1352797.4500000004
2007-07-26,COVERCALL,1322525.4500000002
2007-07-27,COVERCALL,1297357.4500000004
2007-07-30,COVERCALL,1317993.4500000002
2007-07-31,COVERCALL,1303385.4500000002
2007-08-01,COVERCALL,1309633.4500000002
2007-08-02,COVERCALL,1319929.4500000002
2007-08-03,COVERCALL,1286489.4500000002
2007-08-06,COVERCALL,1307697.4500000002
2007-08-07,COVERCALL,1321425.4500000002
2007-08-08,COVERCALL,1339553.4500000002
2007-08-09,COVERCALL,1300481.45
2007-08-10,COVERCALL,1294497.4500000002
2007-08-13,COVERCALL,1299073.4500000002
2007-08-14,COVERCALL,1279537.4500000002
2007-08-15,COVERCALL,1262201.4500000002
2007-08-16,COVERCALL,1271529.4500000002
2007-08-17,COVERCALL,1294941.8500000003
2007-08-20,COVERCALL,1299605.85
2007-08-21,COVERCALL,1303076.8500000003
2007-08-22,COVERCALL,1314379.8500000003
2007-08-23,COVERCALL,1315002.8500000003
2007-08-24,COVERCALL,1325994.3500000003
2007-08-27,COVERCALL,1319497.3500000003
2007-08-28,COVERCALL,1298982.8500000003
2007-08-29,COVERCALL,1316960.8500000003
2007-08-30,COVERCALL,1313712.3500000003
2007-08-31,COVERCALL,1322968.3500000003
2007-09-04,COVERCALL,1331556.8500000003
2007-09-05,COVERCALL,1325860.8500000003
2007-09-06,COVERCALL,1329109.3500000003
2007-09-07,COVERCALL,1317672.8500000003
2007-09-10,COVERCALL,1318518.3500000003
2007-09-11,COVERCALL,1328975.8500000003
